geometry,grid_id,x,y,population,elevation,road_density,building_density,urban_class,predicted_traffic_mbps,tower_source
POINT (305159.6858380263 2363613.566691502),8770,305159.6858380263,2363613.566691502,259.2989585020721,249.44398302172505,24.730015736621965,0.009595192570995614,suburban,69.23192029491018,nsga2_macro
POINT (314909.6858380263 2392863.566691502),10788,314909.6858380263,2392863.566691502,20.0,282.6475419874416,36.73149107811398,0.0007400872434216846,rural,8.097654811593731,nsga2_macro
POINT (326909.6858380263 2283363.566691502),13257,326909.6858380263,2283363.566691502,20.0,353.7521480017698,18.267959600721582,0.0007400872434216846,rural,8.248389816497868,nsga2_macro
POINT (311909.6858380263 2362863.566691502),10119,311909.6858380263,2362863.566691502,20.00001388036507,273.201560811097,38.63922634808048,0.0007400877570557406,rural,8.115995435902004,nsga2_macro
POINT (307409.6858380263 2347863.566691502),9178,307409.6858380263,2347863.566691502,351.1515226265895,229.08768040271417,44.399002344854836,0.012994138120201996,suburban,94.94260145852272,nsga2_macro
POINT (346409.6858380263 2344113.566691502),17008,346409.6858380263,2344113.566691502,20.0,299.61996997647685,47.56570980278995,0.0007400872434216846,rural,8.034436536964066,nsga2_macro
POINT (314909.6858380263 2326863.566691502),10700,314909.6858380263,2326863.566691502,22.593621923231954,332.2405304978847,10.263490111489471,0.0008360625684038238,rural,2.0320696244810255,nsga2_macro
POINT (334409.6858380263 2377113.566691502),14882,334409.6858380263,2377113.566691502,20.0,289.2695769804635,29.886168532832446,0.0007400872434216846,rural,8.026961350790891,nsga2_macro
POINT (318659.6858380263 2347113.566691502),11543,318659.6858380263,2347113.566691502,29.384549686479296,319.33513546547147,25.42300317412171,0.0010873565188326993,rural,3.3411457610213926,nsga2_macro
POINT (294659.6858380263 2315613.566691502),6851,294659.6858380263,2315613.566691502,21.55378665733569,316.5636906448159,47.57149950547922,0.0007975841276263326,rural,2.5345299173909748,nsga2_macro
POINT (293159.6858380263 2331363.566691502),6615,293159.6858380263,2331363.566691502,790.4922949797644,373.5488454421549,72.98927566347544,0.02925166317688275,rural,245.71952516368933,nsga2_macro
POINT (295409.6858380263 2340363.566691502),7012,295409.6858380263,2340363.566691502,5054.602284380404,335.76294740779684,247.78660977982483,0.18704233356200214,suburban,2657.654874446862,nsga2_macro
POINT (269159.6858380263 2371113.566691502),3316,269159.6858380263,2371113.566691502,20.0,304.78401302166077,25.124577463264462,0.0007400872434216846,rural,8.178955633031638,nsga2_macro
POINT (247409.6858380263 2364363.566691502),1301,247409.6858380263,2364363.566691502,20.000000007904344,266.06018114075033,47.735721366827214,0.0007400872437141798,rural,8.255868586100858,nsga2_macro
POINT (250409.6858380263 2343363.566691502),1505,250409.6858380263,2343363.566691502,20.000000015323764,285.30842459491265,20.866248099830937,0.0007400872439887306,rural,8.051096819253143,nsga2_macro
POINT (326909.6858380263 2377113.566691502),13382,326909.6858380263,2377113.566691502,20.000000003654108,356.5791210882693,37.585349302094954,0.0007400872435569025,rural,8.141748298116035,nsga2_macro
POINT (316409.6858380263 2323113.566691502),11011,316409.6858380263,2323113.566691502,20.02911049445147,334.4036708962146,34.71379359073554,0.000741164458701346,rural,8.014385792728893,nsga2_macro
POINT (308909.6858380263 2340363.566691502),9467,308909.6858380263,2340363.566691502,1551.2745413354512,263.81926290755405,117.21815836571653,0.0574039249543596,rural,529.0886707322205,nsga2_macro
POINT (350909.6858380263 2315613.566691502),17379,350909.6858380263,2315613.566691502,20.0,325.9638012856173,13.033715206640961,0.0007400872434216846,rural,8.149072595295445,nsga2_macro
POINT (295409.6858380263 2335863.566691502),7006,295409.6858380263,2335863.566691502,4865.211570520345,351.7886899848296,251.72028542078436,0.18003405099448433,urban,2505.08132632994,nsga2_macro
POINT (304409.6858380263 2331363.566691502),8587,304409.6858380263,2331363.566691502,2318.3526518183094,283.5225763008184,145.37640410401306,0.08578916116817825,suburban,872.9523125298012,nsga2_macro
POINT (315659.6858380263 2340363.566691502),10876,315659.6858380263,2340363.566691502,39.248328597368285,321.96835912247286,24.30171973713873,0.001452359366026738,rural,3.683564676886134,nsga2_macro
POINT (284909.6858380263 2371863.566691502),5303,284909.6858380263,2371863.566691502,20.000000000000007,347.94835655167054,45.590333743683246,0.0007400872434216848,rural,8.016182757776926,nsga2_macro
POINT (278159.6858380263 2377863.566691502),4413,278159.6858380263,2377863.566691502,20.0,287.9183087694341,33.01608489434887,0.0007400872434216846,rural,8.199670234954796,nsga2_macro
POINT (319409.6858380263 2377863.566691502),11752,319409.6858380263,2377863.566691502,20.00000000000001,370.97239714009845,37.76262009993848,0.0007400872434216849,rural,8.231223850908435,nsga2_macro
POINT (280409.6858380263 2333613.566691502),4643,280409.6858380263,2333613.566691502,20.822511986272584,305.5301294188487,7.547499890375068,0.000770523774851773,rural,3.2343644356805754,nsga2_macro
POINT (303659.6858380263 2344863.566691502),8466,303659.6858380263,2344863.566691502,2252.6243586824676,245.1302180460733,126.03501797128143,0.08335692760409236,suburban,822.3431817723094,nsga2_macro
POINT (314909.6858380263 2348613.566691502),10729,314909.6858380263,2348613.566691502,989.3446352827789,283.3095091408553,77.46262236582838,0.03661006719602319,urban,295.7415802342098,nsga2_macro
POINT (300659.6858380263 2365113.566691502),7957,300659.6858380263,2365113.566691502,20.75801056184467,283.1743039858404,42.53886747149974,0.0007681369407816917,rural,2.534315426043014,nsga2_macro
POINT (312659.6858380263 2333613.566691502),10236,312659.6858380263,2333613.566691502,287.74580523063975,313.2565848326895,51.964319568311666,0.010647849989964854,rural,80.25825050568095,nsga2_macro
POINT (311909.6858380263 2386863.566691502),10151,311909.6858380263,2386863.566691502,20.0,274.73245956539483,12.936467374054372,0.0007400872434216846,rural,8.21329824474154,nsga2_macro
POINT (307409.6858380263 2334363.566691502),9160,307409.6858380263,2334363.566691502,3257.8961256163875,277.9388261830594,196.14450478084433,0.1205563681480809,urban,1403.7366628472198,nsga2_macro
POINT (264659.6858380263 2357613.566691502),2792,264659.6858380263,2357613.566691502,20.77233024552956,299.01824163097217,29.43782251778386,0.0007686668315429428,rural,3.5799666931636107,nsga2_macro
POINT (328409.6858380263 2302863.566691502),13586,328409.6858380263,2302863.566691502,26.36395407004215,295.411129388445,48.42819480612018,0.0009755813046696698,rural,2.8717853078440716,nsga2_macro
POINT (299159.6858380263 2353113.566691502),7678,299159.6858380263,2353113.566691502,33.24337320533918,262.94096366290285,5.2158549881368925,0.0012301498218788881,rural,3.6351888879240537,nsga2_macro
POINT (284909.6858380263 2341113.566691502),5262,284909.6858380263,2341113.566691502,27.379357408653146,325.0244459492539,29.150879131224336,0.001013155657561359,rural,1.4377190149381107,nsga2_macro
POINT (311909.6858380263 2310363.566691502),10049,311909.6858380263,2310363.566691502,20.00000000335879,248.76582003900188,50.18547534998716,0.0007400872435459744,rural,8.05625376198851,nsga2_macro
POINT (306659.6858380263 2368863.566691502),9061,306659.6858380263,2368863.566691502,24.283752583618416,269.1723539555789,43.75656362443256,0.0008986047754772181,rural,3.8913071064032287,nsga2_macro
POINT (269909.6858380263 2359863.566691502),3386,269909.6858380263,2359863.566691502,20.10757050327529,255.9282067609531,13.099918937531285,0.0007440678212838091,rural,8.17517846255332,nsga2_macro
POINT (296909.6858380263 2324613.566691502),7249,296909.6858380263,2324613.566691502,1503.9930147011755,333.3197622033638,110.1885606546739,0.055654302218783105,urban,500.85753754358615,nsga2_macro
POINT (282659.6858380263 2338113.566691502),4943,282659.6858380263,2338113.566691502,27.217751652439844,315.18526546067807,19.421737008327398,0.00100717553962951,rural,1.6556945330115187,nsga2_macro
POINT (279659.6858380263 2358363.566691502),4581,279659.6858380263,2358363.566691502,20.000002997680845,249.30883132297365,16.094386374392847,0.0007400873543489521,rural,8.10057875228394,nsga2_macro
POINT (340409.6858380263 2319363.566691502),15998,340409.6858380263,2319363.566691502,20.0,254.04930516352277,38.17911761238801,0.0007400872434216846,rural,8.23232083237706,nsga2_macro
POINT (307409.6858380263 2331363.566691502),9156,307409.6858380263,2331363.566691502,1545.9945194116247,281.18687157800633,118.1429622555822,0.05720854111081906,suburban,524.7122178266858,nsga2_macro
POINT (334409.6858380263 2324613.566691502),14812,334409.6858380263,2324613.566691502,20.000000000000018,278.7178444845276,25.98713292554477,0.0007400872434216851,rural,8.239259994925328,nsga2_macro
POINT (251909.6858380263 2358363.566691502),1648,251909.6858380263,2358363.566691502,25.39414975015653,284.0369728852775,40.27602227649622,0.0009396943143815403,rural,2.8036019458857258,nsga2_macro
POINT (289409.6858380263 2336613.566691502),5980,289409.6858380263,2336613.566691502,1396.5279156852848,369.64497878023803,96.85453513260472,0.05167762477404765,suburban,445.94659787843295,nsga2_macro
POINT (244409.6858380263 2351613.566691502),1046,244409.6858380263,2351613.566691502,20.344577421277855,221.5059699405187,12.589021376574975,0.0007528381111146285,rural,2.9537634662759125,nsga2_macro
POINT (325409.6858380263 2328363.566691502),13003,325409.6858380263,2328363.566691502,20.000013453028576,366.69984648402055,19.358980869010267,0.0007400877412424262,rural,8.060144719828367,nsga2_macro
POINT (261659.6858380263 2341863.566691502),2476,261659.6858380263,2341863.566691502,20.0,344.81306753578525,7.457726245450251,0.0007400872434216846,rural,7.997432383267271,nsga2_macro
POINT (332159.6858380263 2351613.566691502),14396,332159.6858380263,2351613.566691502,24.91423582384716,248.50216168194862,47.48806152244047,0.0009219354056414413,rural,8.104800820043717,nsga2_macro
POINT (279659.6858380263 2346363.566691502),4565,279659.6858380263,2346363.566691502,20.445122281624315,253.76833383039937,45.81498426011241,0.0007565587095413299,rural,1.5956200508403717,nsga2_macro
POINT (287909.6858380263 2338863.566691502),5733,287909.6858380263,2338863.566691502,327.28836409345746,356.1664468629634,42.00265513252188,0.012111097159295979,rural,81.74764552182684,nsga2_macro
POINT (311909.6858380263 2331363.566691502),10077,311909.6858380263,2331363.566691502,255.48489390674288,308.2276279823307,33.92527511853682,0.009454055543366143,rural,71.13340289913944,nsga2_macro
POINT (349409.6858380263 2329113.566691502),17293,349409.6858380263,2329113.566691502,20.0,363.540893847658,45.08390758499327,0.0007400872434216846,rural,8.209026965307267,nsga2_macro
POINT (290909.6858380263 2339613.566691502),6238,290909.6858380263,2339613.566691502,719.6469452617102,360.1642543737506,76.62866953164789,0.026630076197778754,rural,216.96225503644914,nsga2_macro
POINT (312659.6858380263 2317113.566691502),10214,312659.6858380263,2317113.566691502,20.226751186841177,272.94587493784286,46.253308087860155,0.0007484780264622786,rural,3.6343222251569807,nsga2_macro
POINT (236159.6858380263 2374863.566691502),538,236159.6858380263,2374863.566691502,21.447553980542285,324.598166375825,23.519273084479508,0.0007936530551798658,rural,3.9379993142900553,nsga2_macro
POINT (321659.6858380263 2292363.566691502),12138,321659.6858380263,2292363.566691502,485.308093609948,371.72579226970834,27.577373592177246,0.01795851646050096,rural,132.31061354362748,nsga2_macro
POINT (319409.6858380263 2308113.566691502),11659,319409.6858380263,2308113.566691502,20.341771647221,313.65319851935675,15.881071060707805,0.0007527342852352585,rural,3.0594796853428403,nsga2_macro
POINT (317159.6858380263 2354613.566691502),11217,317159.6858380263,2354613.566691502,21.336587886958597,298.97812928740456,34.38362030486735,0.0007895468256641846,rural,1.8151531971274446,nsga2_macro
POINT (332159.6858380263 2392863.566691502),14451,332159.6858380263,2392863.566691502,20.0,253.04168504724052,9.398444498699082,0.0007400872434216846,rural,8.194119085730692,nsga2_macro
POINT (295409.6858380263 2326113.566691502),6993,295409.6858380263,2326113.566691502,942.2999626152639,351.3863106519447,47.75546405145591,0.03486920909041435,suburban,276.26724592355424,nsga2_macro
POINT (246659.6858380263 2376363.566691502),1258,246659.6858380263,2376363.566691502,20.000001011922883,289.2818563635995,4.135555954840761,0.0007400872808672453,rural,8.056910822715832,nsga2_macro
POINT (338909.6858380263 2393613.566691502),15805,338909.6858380263,2393613.566691502,20.0,224.91898354677835,6.523757578626769,0.0007400872434216846,rural,8.043364450394009,nsga2_macro
POINT (283409.6858380263 2341113.566691502),5050,283409.6858380263,2341113.566691502,21.673202090180826,310.67619169545287,10.880299058364102,0.000802003019552151,rural,3.067885695916416,nsga2_macro
POINT (307409.6858380263 2323113.566691502),9145,307409.6858380263,2323113.566691502,25.86931015037832,263.86636123457333,21.748956330203786,0.0009572773219207047,rural,2.9688963502063204,nsga2_macro
POINT (297659.6858380263 2378613.566691502),7451,297659.6858380263,2378613.566691502,20.0,334.06647074356647,22.78251430652884,0.0007400872434216846,rural,8.09950290848095,nsga2_macro
POINT (307409.6858380263 2296113.566691502),9109,307409.6858380263,2296113.566691502,20.0,259.51143346383634,36.79528682453762,0.0007400872434216846,rural,8.038327724920045,nsga2_macro
POINT (237659.6858380263 2356113.566691502),596,237659.6858380263,2356113.566691502,20.00000000000103,252.98137776299316,34.30299598032851,0.0007400872434217226,rural,8.0864621819402,nsga2_macro
POINT (328409.6858380263 2389863.566691502),13702,328409.6858380263,2389863.566691502,20.0,298.78455662380065,38.00815349018154,0.0007400872434216846,rural,8.006351220385229,nsga2_macro
POINT (238409.6858380263 2379363.566691502),670,238409.6858380263,2379363.566691502,20.000166525419566,297.990705716899,9.593796521723517,0.0007400934055886208,rural,8.087355811578611,nsga2_macro
POINT (224909.6858380263 2364363.566691502),147,224909.6858380263,2364363.566691502,20.0,343.4137721161541,26.05906021572018,0.0007400872434216846,rural,8.275360880672425,nsga2_macro
POINT (338909.6858380263 2308863.566691502),15695,338909.6858380263,2308863.566691502,20.0,221.41895678666776,26.9437198763255,0.0007400872434216846,rural,8.271430254348617,nsga2_macro
POINT (286409.6858380263 2333613.566691502),5480,286409.6858380263,2333613.566691502,565.1651942708962,361.4936952238272,66.72332264135694,0.02091357753529142,rural,168.69074362856864,nsga2_macro
POINT (309659.6858380263 2329863.566691502),9607,309659.6858380263,2329863.566691502,413.42922937313443,290.39785850887273,43.79881530282464,0.01529868493583572,rural,109.15389549117552,nsga2_macro
POINT (320909.6858380263 2364363.566691502),12068,320909.6858380263,2364363.566691502,22.475954298738525,350.1370391705478,44.21179211678074,0.0008317083530112577,rural,3.6309658888547016,nsga2_macro
POINT (290159.6858380263 2386863.566691502),6174,290159.6858380263,2386863.566691502,20.0,346.2855481832221,26.522040588373496,0.0007400872434216846,rural,8.240474784952632,nsga2_macro
POINT (330659.6858380263 2296113.566691502),14023,330659.6858380263,2296113.566691502,20.00000000006956,300.40524348063605,11.76299462037957,0.0007400872434242585,rural,8.269520803577027,nsga2_macro
POINT (291659.6858380263 2330613.566691502),6355,291659.6858380263,2330613.566691502,562.1867772334301,378.8141503562477,74.42516041569601,0.020803363112540496,rural,163.90177798531607,nsga2_macro
POINT (310409.6858380263 2343363.566691502),9779,310409.6858380263,2343363.566691502,403.2720007131192,260.35538591471084,49.423566695269486,0.014922823167845998,suburban,117.10055246068157,nsga2_macro
POINT (299159.6858380263 2293863.566691502),7599,299159.6858380263,2293863.566691502,20.0,309.9196220766769,14.978803326532763,0.0007400872434216846,rural,7.994724299700214,nsga2_macro
POINT (312659.6858380263 2336613.566691502),10240,312659.6858380263,2336613.566691502,352.81421781918516,306.2768424612769,43.624521769275695,0.013055665095288924,rural,101.34483688438057,nsga2_macro
POINT (297659.6858380263 2310363.566691502),7360,297659.6858380263,2310363.566691502,20.000172849451758,278.3934430100224,36.14979887009098,0.0007400936396053984,rural,8.088504187305508,nsga2_macro
POINT (300659.6858380263 2344863.566691502),7930,300659.6858380263,2344863.566691502,3254.2152698708887,266.92001362793434,191.6152734989287,0.12042016042897495,suburban,1395.7541012585614,nsga2_macro
POINT (291659.6858380263 2353863.566691502),6386,291659.6858380263,2353863.566691502,20.393496562731013,319.07657352997194,28.805902081848107,0.0007546483327420597,rural,2.344283304599186,nsga2_macro
POINT (303659.6858380263 2337363.566691502),8456,303659.6858380263,2337363.566691502,7757.791685946076,275.4796051454252,390.9818360340052,0.28707213319457464,urban,5512.91200201313,nsga2_macro
